"ID","PID","Title","keywords"
"B10RMittelW","B10RMittel","Winkel","Use_theorem_about_the_sum_of_the_angles_in_triangle; Reproduce_angle; Transfer_an_angle; Construct_angle_with_given_measure_with_protractor; Angle_fig; "
"B10RMittelgS","B10RMittel","geometrische Strukturen","patterns_and_structures; Use_basic_geometry_to_describe_real_world; "
"B10RMittelKdr","B10RMittel","Konstruktion von Dreiecken (mit Hilfsmitteln)","Construct_isosceles_triangle_using_graduated_ruler_and_compass; Use_theorem_about_the_sum_of_the_angles_in_triangle; Reproduce_isosceles_triangle; Construct_triangle_with_given_ASA; Reproduce_equilateral_triangle; Reproduce_a_rightangled_triangle; Draw_isosceles_triangle; Construct_triangle_with_given_SAS; Construct_right_angled_triangle_using_graduated_ruler_and_compass; Construct_equilateral_triangle_using_graduated_ruler_and_compass; Construct_equilateral_triangle; Construct_RightAngledTriangle; Compass; Graduated_ruler; Ruler;  Set_square; Dynamic_interactive_geometry_environments; "
"B10RMittelMod","B10RMittel","Modellierungsaufgaben","Real_world_representation; Model_a_situation_using_geometry; Real_world_problem; "
"B10RMittelgO","B10RMittel","Eigenschaften geometrischer Objekte","Similar; similar_triangles; Solve_similarity_problems;  Understand_similarity; Use_similarity; Relationship; Know_basic_relations_in_2D; "
"B10RMittelAK","B10RMittel","Analysieren und Klassifizieren von Körpern","Solidobjects; Know_parallelism_of_faces_in_solids; classify_solids; Know_faces_that_are_perpendicular_in_solids; "
"B10RMittelSeG","B10RMittel","Sätze ebener Geometrie","Theorem; use_intercepttheorem_to_check_relations; Know_Pythagoras_theorem; Use_proportionality_of_sidelengths_of_triangles_in_particular_configuration; Understand_Pythagoras_theorem; Use_Pythagoras_theorem_to_obtain_magnitudes; exploreThalesCircleTheorem; Know_Thales_Circle_theorem; Know_converse_of_Thales_Circle_theorem; illustrateThalesCircleTheorem; Use_Pythagoras_theorem_to_solve_2D_problems; Use_Pythagoras_theorem_to_solve_3D_problems; Use_Pythagoras_theorem_to_check_relations; "
"B10RMittelVV","B10RMittel","Vergrößern und verkleinern ebener Figuren","Construct_enlargement_of_a_figure; Reduction; Ampliation; "
"B10RMittelKoo","B10RMittel","Koordinatensystem","Point_in_coordinate_system; Origin_of_coordinates;  Plane_in_coordinate_system; Line_in_coordinate_system;"
"B10RMittel2d","B10RMittel","2-D Körper bennenen und beschreiben","Net_of_a_solid; Orthogonal_projection_of_solid; Analyze_cylinder_and_right_prism_using_geometry_software; classify_solids; Projection; tp://Representation_in_cavalier_perspective; "
"B10RMittelSK","B10RMittel","Schrägbilder und Körpernetze ","Net_of_a_solid; Construct_net_of_a_solid; Construct_net_of_pyramid_with_given_dimensions; "
